Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	FinalScore	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossEnt	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
24	200.0	0.31937242	0.104691334	0.9280743	0.13139085	0.41084114	13.46043	2.7147026	24.527481	6.707833	5000	-0.0016284809	-0.54282695	0.5213984	-2.3633125e-05	-0.019030988	0.54282695	0.00067726016	0.0	99.0	1964.4503524303436
25	200.0	0.32300213	0.10186543	0.84009385	0.15989865	0.41116402	13.303235	2.7657828	24.52831	7.287519	5200	-0.0016241812	-0.5413938	0.5003839	-2.7701259e-05	-0.015306681	0.54139376	0.0013409087	0.0	99.0	2041.0240087509155
26	200.0	0.2774127	0.0988721	0.9262341	0.13726708	0.3526022	13.184281	2.6758034	26.83816	7.9367657	5400	-0.0016299061	-0.54330236	0.45707026	-2.7484377e-05	-0.025046289	0.5433024	0.0009056701	0.0	99.0	2121.2647495269775
27	200.0	0.24930595	0.09559803	0.9952092	0.121460974	0.32216218	12.263535	2.5712783	29.01769	7.5534964	5600	-0.0016301076	-0.5433693	0.3947012	-1.1585071e-05	-0.0090429485	0.54336935	0.00028644572	0.0	99.0	2201.2623839378357
28	200.0	0.2991851	0.08915764	0.9190462	0.12451808	0.38122013	13.011756	2.7600634	30.829752	7.513311	5800	-0.0016315933	-0.54386455	0.44374925	-1.9700034e-05	-0.0050174296	0.54386455	0.001064549	0.0	99.0	2277.665570497513
29	200.0	0.37308502	0.10531147	0.9594441	0.15420546	0.4709573	14.189251	3.4425433	31.632774	7.7890205	6000	-0.0016304594	-0.54348636	0.60815704	-7.8239245e-05	-0.014028609	0.5434864	0.0010736387	0.0	99.0	2353.9960794448853
30	200.0	0.22988553	0.0798374	0.9581413	0.11549818	0.29514232	12.637443	2.3614414	33.23177	7.7280545	6200	-0.0016219293	-0.5406429	0.4035743	-0.00010697672	-0.042242855	0.540643	0.002474932	0.0	99.0	2430.568719625473
31	200.0	0.26518926	0.09145947	0.6867739	0.12485744	0.3436862	12.815515	2.8588285	31.57949	8.109976	6400	-0.001628487	-0.542829	0.42553037	-8.0053e-06	-0.018079668	0.54282904	0.0011176547	0.0	99.0	2509.310116291046
32	200.0	0.35744146	0.11305631	1.0	0.15543772	0.4551365	13.443585	3.7984333	33.868683	6.773811	6600	-0.0016234478	-0.5411492	0.5828732	-1.4902907e-05	-0.007091224	0.5411492	0.0012796023	0.0	99.0	2585.852793455124
33	200.0	0.34868756	0.09996855	0.9952239	0.18296236	0.4391364	13.286339	3.3037362	34.71218	7.010049	6800	-0.0016274651	-0.5424884	0.52131647	-2.3797504e-05	0.0039879084	0.54248834	0.000641512	0.0	99.0	2662.45334649086
34	200.0	0.2573648	0.076390296	0.95374715	0.11193977	0.3215438	12.332282	2.4628453	34.695553	8.264301	7000	-0.001626435	-0.54214483	0.3708202	2.092321e-05	0.003067404	0.5421448	0.0012467767	0.0	99.0	2738.6143300533295
35	200.0	0.38382763	0.11596816	1.0	0.20801914	0.48852858	14.404035	4.0819635	35.20242	7.3887243	7200	-0.0016202567	-0.5400856	0.6682059	3.838446e-06	-0.016182542	0.5400856	0.0017390535	0.0	99.0	2819.3787581920624
36	200.0	0.3015843	0.097530045	0.9709943	0.1531333	0.38411927	13.432551	3.0522194	35.06516	7.934502	7400	-0.001629304	-0.5431013	0.46473092	-7.714832e-05	-0.0015840828	0.5431014	0.0011662442	0.0	99.0	2899.272969484329
37	200.0	0.24760476	0.076829344	0.90576154	0.12206121	0.31108108	12.807302	2.2566783	35.512295	9.289764	7600	-0.0016281874	-0.5427295	0.38709843	-9.17865e-06	-0.03098321	0.54272944	0.0005635093	0.0	99.0	2979.261041879654
38	200.0	0.2953569	0.11056336	0.99082345	0.13144132	0.38622567	13.092713	3.5931091	36.08876	7.745017	7800	-0.0016291064	-0.5430352	0.4949098	-5.7930243e-05	0.0072360933	0.5430352	0.0008926941	0.0	99.0	3055.888924598694
39	200.0	0.30228236	0.08751705	0.7801219	0.13846321	0.3785021	13.391506	2.7474666	35.492416	9.119576	8000	-0.0016323781	-0.54412615	0.44597355	-0.00010289939	-0.0046358407	0.5441262	0.0033999379	0.0	99.0	3135.9588408470154
40	200.0	0.38305685	0.11230695	0.8910616	0.17926903	0.4854583	14.194933	3.8955238	34.599987	8.175152	8200	-0.0016230781	-0.541026	0.6476535	-1.5625614e-05	-0.012524247	0.541026	0.0019149829	0.0	99.0	3212.435198545456
41	200.0	0.35493287	0.10904685	0.9358756	0.15469731	0.45056808	14.193497	3.687013	35.830036	8.30286	8400	-0.0016276325	-0.54254436	0.58284783	-3.4303055e-05	0.007819116	0.5425445	0.000802607	0.0	99.0	3288.8508920669556
42	200.0	0.2633689	0.07952629	0.7006384	0.11279397	0.33442235	12.489964	2.4144444	35.67596	8.485373	8600	-0.0016311809	-0.5437265	0.37870127	-3.7909253e-05	-0.010415286	0.54372656	0.001389406	0.0	99.0	3365.3674936294556
43	200.0	0.31812584	0.10488244	0.9340089	0.13125618	0.4015317	13.217471	3.348289	35.394062	8.106582	8800	-0.0016297906	-0.54326314	0.48246005	-2.270448e-05	0.0054766536	0.54326314	0.00086596305	0.0	99.0	3442.032826900482
44	200.0	0.346599	0.105286665	0.9047992	0.16787794	0.4384841	13.228353	3.524637	34.53433	7.6170354	9000	-0.0016253087	-0.54176944	0.53620726	2.7149566e-05	-0.011573315	0.54176944	0.0020359368	0.0	99.0	3522.1392159461975
45	200.0	0.24320582	0.0805919	0.93829477	0.112651095	0.31019154	12.500429	2.6500013	36.570286	8.246783	9200	-0.0016336805	-0.54456043	0.39139238	2.5149318e-05	-0.014446408	0.5445605	0.0008179716	0.0	99.0	3598.373548746109
46	200.0	0.37389788	0.11212479	0.9323473	0.17524531	0.47189403	14.266253	3.825891	35.883434	8.767734	9400	-0.0016341555	-0.54471856	0.62313515	-6.550632e-05	-0.006976843	0.5447187	0.0024745322	0.0	99.0	3674.7969489097595
47	200.0	0.33916742	0.11030577	0.8549682	0.13301463	0.43239233	13.997738	3.775006	36.241985	9.063691	9600	-0.0016245616	-0.5415205	0.5725726	-9.945093e-05	0.000990212	0.54152054	0.0016753078	0.0	99.0	3751.3424797058105
48	200.0	0.27883795	0.07991583	0.7500086	0.13201696	0.34901717	13.523441	2.5053213	35.27995	9.988797	9800	-0.0016166514	-0.53888375	0.43136817	-1.6565784e-05	-0.018283933	0.5388838	0.0006831123	0.0	99.0	3827.9474020004272
49	200.0	0.24893267	0.09274844	0.97259533	0.11842054	0.32118517	12.997096	3.0129168	36.61282	9.0469885	10000	-0.0016243056	-0.5414355	0.4413942	-4.656776e-05	-0.018975347	0.54143554	0.0008689224	0.0	99.0	3907.7507269382477
50	200.0	0.35403472	0.10110486	0.92203385	0.16890459	0.4537692	14.250255	3.6207008	36.27792	9.449065	10200	-0.0016208953	-0.54029864	0.58434993	-4.5296852e-05	0.026977003	0.54029864	0.0013932904	0.0	99.0	3984.552856206894
51	200.0	0.3804457	0.11493028	0.98911405	0.16400631	0.4838492	13.991296	3.9098413	36.175396	8.7873535	10400	-0.0016262417	-0.5420807	0.6435747	-0.00010451558	-0.015019655	0.5420807	0.0014216073	0.0	99.0	4060.8331067562103
52	200.0	0.23707055	0.0821409	0.96364623	0.10433626	0.30412614	12.198253	2.4643972	36.149837	9.312989	10600	-0.0016240571	-0.5413523	0.37004387	-3.2385113e-05	-0.017084062	0.54135233	0.0007572541	0.0	99.0	4140.997093677521
53	200.0	0.3777987	0.108491845	0.96285886	0.19360691	0.48116678	14.28861	3.950647	36.12071	9.253843	10800	-0.0016233366	-0.5411121	0.65243894	-3.9404957e-05	0.01768452	0.5411121	0.0007687491	0.0	99.0	4217.172704219818
54	200.0	0.35007665	0.10470737	0.9022168	0.14535207	0.4458419	13.531637	3.8506413	34.217575	8.282608	11000	-0.0016187356	-0.53957874	0.5836981	-2.5560264e-05	-0.012284815	0.5395788	0.0011949214	0.0	99.0	4293.668089866638
55	200.0	0.2870411	0.089254126	0.721311	0.13707545	0.36103752	12.931534	3.004059	35.494358	8.861916	11200	-0.0016231224	-0.54104096	0.4370003	-1.6812817e-05	0.005604446	0.541041	0.0007460996	0.0	99.0	4373.230584621429
56	200.0	0.31013232	0.09563905	0.91885394	0.14424054	0.39328	13.482207	3.2968338	35.68979	9.220218	11400	-0.0016180695	-0.53935635	0.49016038	3.0395808e-05	8.940697e-06	0.5393563	0.0008418117	0.0	99.0	4449.7538340091705
57	200.0	0.3448446	0.094918266	0.79401165	0.17478488	0.43249515	13.733824	3.389974	34.701317	8.910892	11600	-0.0016092099	-0.5364031	0.53408295	-2.243789e-05	0.006055236	0.5364031	0.0014917332	0.0	99.0	4526.346431970596
58	200.0	0.33369625	0.11480701	0.99531525	0.15288131	0.42717525	13.464511	4.0477834	35.900078	8.754342	11800	-0.0016130772	-0.5376925	0.56179047	-9.711727e-05	-0.00056135654	0.5376925	0.0013195224	0.0	99.0	4606.053475141525
59	200.0	0.4000578	0.11496231	0.9176242	0.17176907	0.50739104	15.029746	4.228324	36.089973	9.40627	12000	-0.0016217352	-0.5405784	0.7283068	-4.0118233e-05	-0.018043816	0.5405784	0.00074967626	0.0	99.0	4682.583972454071
60	200.0	0.25162452	0.08410932	0.92131525	0.10692864	0.3239336	13.238942	2.6763885	37.115623	10.088302	12200	-0.0016239515	-0.54131734	0.43665078	-2.6369817e-05	-0.024176836	0.54131734	0.0011250449	0.0	99.0	4763.643965005875
61	200.0	0.29203832	0.08746392	0.76299834	0.12959766	0.37083068	13.474697	3.0310411	36.897026	9.85444	12400	-0.0016309432	-0.5436477	0.4664424	-4.4957385e-05	-0.011764675	0.5436477	0.0008420825	0.0	99.0	4843.515292644501
62	200.0	0.35242847	0.09872469	0.9288944	0.17127556	0.44613746	13.993964	3.4110298	35.718815	9.499417	12600	-0.0016281484	-0.542716	0.55839026	-6.845209e-05	0.0029665232	0.542716	0.0012152209	0.0	99.0	4924.577286243439
63	200.0	0.28234828	0.09783451	0.98228544	0.118730634	0.35828418	13.066889	3.183893	36.79913	9.274774	12800	-0.0016242621	-0.54142076	0.44353676	-5.2937074e-05	0.0008174181	0.54142076	0.0010133763	0.0	99.0	5000.972362041473
64	200.0	0.31787255	0.0997267	0.8882938	0.14900889	0.4095604	13.5790415	3.6297953	36.64522	9.2143755	13000	-0.0016315022	-0.54383385	0.5314684	-7.3441886e-05	-0.0044460893	0.543834	0.0012502584	0.0	99.0	5080.480503082275
